Player,O_POSSESSIONS,O_RAPM_2021-23,D_POSSESSIONS,D_RAPM_2021-23,TOTAL_POSSESSIONS,RAPM_2021-23
HOME,480858,1.91,0,0,480858,1.91
Craig Sword,33,-0.01,37,0.23,70,0.22
Gary Trent Jr.,9157,0.14,9162,-0.87,18319,-0.73
Kemba Walker,2177,-1.89,2168,-0.4,4345,-2.29
Yves Pons,147,-0.85,147,-0.01,294,-0.86
Oshae Brissett,5336,1.49,5357,-1.18,10693,0.31
Darren Collison,87,-0.31,83,-0.21,170,-0.52
Gary Harris,5903,-0.06,5896,-0.61,11799,-0.67
Deandre Ayton,7599,0.18,7570,-0.08,15169,0.1
Lauri Markkanen,8340,2.25,8336,-0.35,16676,1.9
Alize Johnson,381,-0.06,394,-0.46,775,-0.52
Jaysean Paige,16,-0.29,15,-0.01,31,-0.3
Quinndary Weatherspoon,145,0.41,147,-0.54,292,-0.13
Udoka Azubuike,1154,-1.46,1147,-0.15,2301,-1.61
Vernon Carey Jr.,146,-0.93,146,-0.5,292,-1.43
Jonathan Kuminga,5275,0.08,5289,-0.66,10564,-0.58
Trae Young,10779,2.71,10733,-0.99,21512,1.72
Buddy Hield,10208,1.84,10117,-0.82,20325,1.02
Keon Johnson,2231,-1.8,2247,-2.75,4478,-4.55
Jock Landale,3204,0.62,3182,0.81,6386,1.43
Kyle Anderson,7081,0.33,7079,-0.12,14160,0.21
Miye Oni,84,-0.4,88,-0.31,172,-0.71
David Nwaba,1258,0.0,1254,-0.5,2512,-0.5
Marquese Chriss,694,-0.92,683,-0.28,1377,-1.2
Marko Simonovic,110,0.16,115,0.39,225,0.55
Joel Embiid,9051,3.32,9027,2.61,18078,5.93
Killian Tillie,929,-0.69,921,0.08,1850,-0.61
Aaron Gordon,8986,3.7,8924,1.09,17910,4.79
PJ Dozier,834,-2.22,839,0.15,1673,-2.07
Nikola Vucevic,10385,-0.27,10338,-0.61,20723,-0.88
Jarrett Culver,964,-1.02,962,0.07,1926,-0.95
Josh Hart,8528,2.77,8504,0.44,17032,3.21
Cody Martin,4012,1.23,4050,-0.88,8062,0.35
Lindell Wigginton,594,-0.07,598,-1.35,1192,-1.42
Goga Bitadze,2382,1.1,2367,0.39,4749,1.49
David Duke Jr.,1148,-0.52,1156,-0.41,2304,-0.93
Justin Robinson,629,-1.94,637,0.05,1266,-1.89
Devin Vassell,6455,-0.66,6455,-0.49,12910,-1.14
Trey Lyles,5706,0.96,5684,-1.14,11390,-0.17
Wayne Ellington,1653,-0.42,1644,-0.32,3297,-0.74
Sekou Doumbouya,36,-0.02,35,0.64,71,0.62
Paul Reed,2089,0.42,2118,-1.22,4207,-0.8
Devin Booker,8539,4.37,8526,-0.22,17065,4.15
Day'Ron Sharpe,1916,0.94,1908,-1.29,3824,-0.35
Cameron Oliver,84,0.34,89,-0.21,173,0.13
Michael Porter Jr.,4219,1.75,4176,1.27,8395,3.02
Jaylen Brown,9370,0.37,9335,0.97,18705,1.34
Gary Payton II,3201,1.45,3256,1.34,6457,2.79
James Harden,9062,3.16,9062,-0.77,18124,2.39
Richaun Holmes,2920,-2.33,2904,-0.09,5824,-2.42
Justin Jackson,282,-1.84,284,-0.46,566,-2.3
Immanuel Quickley,8141,0.93,8139,3.79,16280,4.72
Greg Brown III,1488,-2.16,1494,-0.04,2982,-2.2
Paris Bass,16,-0.01,16,0.05,32,0.04
Tyrese Haliburton,9335,1.24,9307,-1.57,18642,-0.33
Jay Huff,251,0.19,251,0.16,502,0.35
Dillon Brooks,6351,0.14,6370,2.07,12721,2.21
Shaq Buchanan,23,-0.04,23,-0.04,46,-0.08
Robert Williams III,5247,-0.07,5225,3.23,10472,3.16
DeJon Jarreau,2,0.04,1,-0.02,3,0.02
Bryn Forbes,3190,-0.09,3164,0.06,6354,-0.03
Damian Lillard,6401,4.47,6377,-1.27,12778,3.2
Maurice Harkless,1754,-0.97,1765,0.78,3519,-0.18
Skylar Mays,832,0.01,838,-1.59,1670,-1.58
Frank Jackson,2388,-1.4,2389,0.07,4777,-1.32
Cat Barber,28,0.19,27,0.13,55,0.32
Bojan Bogdanovic,8131,2.13,8127,-1.19,16258,0.94
Chris Boucher,6350,-0.07,6361,1.46,12711,1.39
Xavier Moon,320,0.07,322,-0.08,642,0.0
Rodney McGruder,2623,0.42,2607,0.82,5230,1.24
Dejounte Murray,10428,0.89,10443,0.51,20871,1.4
Xavier Sneed,176,-0.83,175,0.11,351,-0.72
Isaiah Todd,272,-1.32,267,0.12,539,-1.2
Jeremiah Robinson-Earl,3888,-0.87,3900,-0.56,7788,-1.43
Nemanja Bjelica,2285,0.04,2272,0.78,4557,0.82
Nassir Little,4117,0.4,4142,-0.84,8259,-0.43
Mike Muscala,3181,1.83,3137,1.21,6318,3.04
MJ Walker,18,-0.16,19,0.09,37,-0.07
Micah Potter,182,-1.21,184,0.21,366,-1.0
Jonas Valanciunas,8403,0.25,8361,-0.02,16764,0.23
Nikola Jokic,9778,5.41,9705,2.83,19483,8.24
Josh Jackson,1678,-1.16,1677,-0.32,3355,-1.48
Feron Hunt,16,-0.14,17,0.1,33,-0.04
Jaxson Hayes,3992,-1.15,4022,0.63,8014,-0.51
Jerami Grant,7526,-0.34,7500,0.38,15026,0.03
Kristaps Porzingis,7160,1.36,7119,0.61,14279,1.97
Jalen Green,9727,-0.89,9658,-1.95,19385,-2.84
Zach LaVine,10263,1.07,10266,-0.1,20529,0.97
Yuta Watanabe,2806,0.0,2793,-0.9,5599,-0.9
Eric Gordon,7497,0.48,7454,0.07,14951,0.55
Lance Stephenson,1600,0.33,1594,-1.2,3194,-0.86
Ish Smith,3052,-1.72,3069,-0.5,6121,-2.21
Trevelin Queen,306,0.04,298,0.42,604,0.46
Theo Maledon,3598,-1.33,3587,-1.99,7185,-3.32
Freddie Gillespie,235,-0.54,234,0.1,469,-0.44
Cameron McGriff,88,0.47,89,-0.05,177,0.42
DaQuan Jeffries,19,-0.12,17,-0.04,36,-0.16
Isaiah Jackson,3299,0.41,3292,-0.83,6591,-0.42
Tyler Johnson,187,0.14,182,-0.37,369,-0.23
Sterling Brown,1313,-1.3,1309,0.95,2622,-0.35
Ed Davis,388,-0.93,386,0.84,774,-0.09
George Hill,4244,-0.29,4230,4.09,8474,3.8
Malcolm Brogdon,5950,0.14,5903,-0.13,11853,0.01
Wendell Carter Jr.,7162,-0.64,7150,2.66,14312,2.02
Donte DiVincenzo,6050,-0.01,6045,0.05,12095,0.04
Joshua Primo,2172,-0.62,2184,0.3,4356,-0.32
Daishen Nix,2404,-1.37,2406,0.06,4810,-1.31
James Johnson,2692,-0.96,2726,1.37,5418,0.41
Naz Reid,5182,-2.67,5154,0.05,10336,-2.62
Drew Eubanks,5705,-0.71,5728,-1.27,11433,-1.98
Miles McBride,2206,0.63,2250,1.2,4456,1.83
Admiral Schofield,1829,-1.41,1835,-0.88,3664,-2.29
Bradley Beal,6202,0.52,6200,0.42,12402,0.94
Aaron Henry,34,-0.32,35,-0.22,69,-0.54
Semi Ojeleye,812,-2.2,826,-0.98,1638,-3.18
Patrick Beverley,6681,0.0,6715,1.05,13396,1.05
Timothe Luwawu-Cabarrot,1392,-0.95,1411,-0.54,2803,-1.49
Derrick Jones Jr.,3638,1.44,3665,1.19,7303,2.63
Markelle Fultz,4363,-0.36,4356,0.08,8719,-0.27
Enes Freedom,812,0.38,814,0.82,1626,1.2
DeMar DeRozan,10888,2.26,10905,0.0,21793,2.25
Avery Bradley,2853,-2.34,2886,0.61,5739,-1.73
Jalen Smith,4518,0.13,4517,0.14,9035,0.27
Kenyon Martin Jr.,8080,1.24,8025,-1.57,16105,-0.33
Zeke Nnaji,2806,-2.0,2812,0.78,5618,-1.22
Gordon Hayward,6489,-0.38,6502,1.77,12991,1.39
Jalen Johnson,2400,-0.84,2424,0.15,4824,-0.69
Bobby Portis,7897,1.07,7882,-1.02,15779,0.05
Nick Richards,3216,-0.66,3238,-1.06,6454,-1.72
Ryan Arcidiacono,509,-1.86,514,0.9,1023,-0.96
Ayo Dosunmu,8500,-2.12,8542,0.23,17042,-1.89
Langston Galloway,217,-0.83,220,0.75,437,-0.07
DeAndre' Bembry,2051,0.05,2098,0.11,4149,0.16
Franz Wagner,10197,1.04,10189,2.05,20386,3.09
Russell Westbrook,10012,0.01,9991,-0.9,20003,-0.89
Jeremy Lamb,1898,0.59,1874,0.59,3772,1.18
Trent Forrest,2043,0.13,2069,-0.06,4112,0.07
Evan Mobley,9869,-0.89,9874,1.51,19743,0.62
Aleem Ford,134,-0.31,140,-0.52,274,-0.83
Bismack Biyombo,2736,0.26,2728,0.07,5464,0.33
Serge Ibaka,2158,-1.78,2160,-0.01,4318,-1.79
Paul Watson,324,-0.53,321,-0.46,645,-0.99
Donovan Mitchell,9365,3.1,9292,-0.21,18657,2.89
Jamorko Pickett,364,0.06,361,0.01,725,0.06
Brandon Williams,1311,-1.53,1302,-1.59,2613,-3.12
Jaren Jackson Jr.,8031,1.72,8009,1.9,16040,3.62
Cam Reddish,4059,-3.04,4085,-1.86,8144,-4.9
Terance Mann,8333,1.21,8379,0.78,16712,1.99
Shake Milton,5523,0.48,5522,-0.3,11045,0.18
Onyeka Okongwu,5786,0.77,5800,0.58,11586,1.35
Kevin Knox II,2438,-2.05,2435,-1.47,4873,-3.51
Josh Okogie,3770,-0.41,3796,2.1,7566,1.69
Haywood Highsmith,2244,-1.83,2272,-0.01,4516,-1.84
Tyus Jones,7123,0.3,7121,-0.03,14244,0.27
Vlatko Cancar,2138,-0.56,2137,-0.44,4275,-1.0
Juancho Hernangomez,2092,1.16,2105,-1.68,4197,-0.52
Moses Wright,30,-0.03,30,-0.19,60,-0.22
Kelly Olynyk,5537,1.41,5513,-0.96,11050,0.44
Matt Thomas,922,0.24,915,0.24,1837,0.48
LaMelo Ball,7717,1.85,7664,-1.53,15381,0.32
Jordan Nwora,4899,-0.62,4925,-2.74,9824,-3.36
Sam Dekker,1,-0.03,2,-0.07,3,-0.1
Shaquille Harrison,302,0.24,299,0.08,601,0.32
Pascal Siakam,10372,2.56,10345,0.31,20717,2.87
Keldon Johnson,9177,0.65,9210,-1.22,18387,-0.56
Nik Stauskas,77,0.14,80,0.37,157,0.51
Karl-Anthony Towns,7099,1.44,7066,0.53,14165,1.97
Trendon Watford,4174,-1.1,4190,-2.64,8364,-3.74
Thaddeus Young,3275,-1.25,3287,-0.16,6562,-1.41
Marvin Bagley III,4276,-0.04,4283,-0.74,8559,-0.78
Cameron Payne,4633,0.18,4605,1.31,9238,1.49
