Player,O_POSSESSIONS,O_RAPM_2022,D_POSSESSIONS,D_RAPM_2022,TOTAL_POSSESSIONS,RAPM_2022
HOME,241871,2.15,0,0,241871,2.15
Dwight Powell,2840,2.34,2848,0.49,5688,2.83
Mo Bamba,1543,0.65,1548,0.1,3091,0.75
Alec Burks,2323,1.51,2315,0.02,4638,1.53
Shaquille Harrison,255,0.31,253,0.05,508,0.36
Romeo Langford,1747,-0.87,1766,-0.09,3513,-0.96
Luke Kennard,2662,1.54,2640,0.5,5302,2.04
Precious Achiuwa,2261,0.69,2258,-1.46,4519,-0.77
Mac McClung,89,0.06,90,0.38,179,0.44
David Roddy,2569,-0.55,2602,-1.18,5171,-1.73
Brandon Ingram,3100,0.57,3108,0.12,6208,0.69
Jaylen Brown,4931,0.0,4924,0.15,9855,0.15
Jayson Tatum,5554,2.76,5548,0.38,11102,3.13
Sandro Mamukelashvili,1344,-0.36,1329,-0.84,2673,-1.2
Ryan Rollins,127,-0.95,128,0.03,255,-0.92
Lester Quinones,39,0.03,40,0.13,79,0.16
Ty Jerome,1673,0.05,1670,-1.51,3343,-1.46
Dillon Brooks,4541,-0.78,4553,1.63,9094,0.84
Tari Eason,3624,-0.15,3632,0.95,7256,0.8
Aaron Wiggins,2645,0.25,2692,-0.06,5337,0.19
Buddy Hield,5158,0.95,5116,-0.12,10274,0.83
Corey Kispert,4186,-0.24,4165,-1.48,8351,-1.72
Jaylin Williams,1889,-0.61,1894,-0.92,3783,-1.53
Darius Days,51,0.03,51,0.07,102,0.1
Patrick Beverley,3660,-0.93,3694,-0.01,7354,-0.94
Jaren Jackson Jr.,3698,1.54,3693,1.75,7391,3.29
Deni Avdija,4012,0.56,4048,-0.09,8060,0.47
Keita Bates-Diop,3025,-0.59,3045,0.07,6070,-0.52
Josh Green,3052,0.35,3046,0.65,6098,1.0
Amir Coffey,1265,-1.32,1266,-0.19,2531,-1.51
Isaiah Stewart,2910,-0.48,2899,0.29,5809,-0.19
Xavier Sneed,98,-0.47,102,-0.06,200,-0.53
Dominick Barlow,844,-0.63,849,-0.5,1693,-1.12
Kevin Porter Jr.,4105,0.19,4097,-0.84,8202,-0.64
Jae Crowder,711,0.1,716,-0.16,1427,-0.06
Trey Murphy III,5005,-0.06,5003,-0.33,10008,-0.39
Max Strus,4522,-1.71,4493,-0.89,9015,-2.6
Jarrett Allen,4332,1.3,4325,1.1,8657,2.4
Isaiah Joe,2886,2.18,2817,-0.87,5703,1.31
Matt Ryan,666,0.33,655,0.05,1321,0.38
Anthony Lamb,2466,0.23,2458,0.14,4924,0.37
Jalen Williams,4709,-0.9,4727,0.32,9436,-0.58
Donovan Mitchell,4820,1.08,4757,0.21,9577,1.29
Jay Huff,207,0.33,209,-0.35,416,-0.01
Troy Brown Jr.,3838,-0.24,3833,-0.54,7671,-0.78
Franz Wagner,5302,0.49,5292,2.46,10594,2.95
Noah Vonleh,340,0.04,343,-0.52,683,-0.48
Ziaire Williams,1156,-1.21,1165,-0.66,2321,-1.87
Theo Maledon,1751,-0.4,1764,-1.03,3515,-1.43
Nicolas Batum,3483,1.24,3477,1.01,6960,2.25
Christian Wood,3382,0.91,3371,-1.74,6753,-0.83
Tyler Herro,4628,1.45,4589,0.75,9217,2.2
Sterling Brown,56,-0.08,58,0.05,114,-0.03
Kevon Looney,4021,2.29,4065,-0.09,8086,2.2
Dewayne Dedmon,860,-1.82,892,0.33,1752,-1.49
Devin Vassell,2473,-1.28,2465,-1.21,4938,-2.49
Braxton Key,20,-0.04,20,0.0,40,-0.04
Chris Duarte,1860,-0.6,1860,-0.66,3720,-1.26
Andrew Wiggins,2506,0.32,2516,0.64,5022,0.96
Vlatko Cancar,1765,-0.71,1769,-0.53,3534,-1.24
Jacob Gilyard,85,-0.11,87,-0.02,172,-0.13
Malik Monk,3610,-0.89,3597,0.33,7207,-0.56
Lindy Waters III,1114,0.55,1084,1.05,2198,1.6
Anthony Edwards,5870,0.35,5829,0.73,11699,1.08
Jrue Holiday,4562,2.12,4522,2.01,9084,4.13
Anthony Davis,3951,0.75,3950,2.46,7901,3.21
Jarrett Culver,284,-0.32,282,0.01,566,-0.31
Kawhi Leonard,3498,2.37,3497,1.08,6995,3.45
Aaron Holiday,1743,0.11,1761,0.65,3504,0.76
Kyle Lowry,3408,0.01,3398,1.03,6806,1.04
Norman Powell,3229,-1.82,3219,-0.65,6448,-2.47
Joe Ingles,2201,0.85,2187,-0.8,4388,0.04
Jose Alvarado,2680,0.1,2708,1.41,5388,1.51
Jimmy Butler,4210,1.6,4224,-0.66,8434,0.94
Darius Bazley,1246,-1.24,1269,0.54,2515,-0.7
Alize Johnson,60,0.07,61,0.3,121,0.37
Mason Plumlee,4180,0.78,4183,-1.8,8363,-1.02
Gabe Vincent,3489,-0.15,3513,0.27,7002,0.12
Myles Turner,3753,0.86,3747,0.17,7500,1.03
Mfiondu Kabengele,70,-0.03,67,-0.21,137,-0.24
Hamidou Diallo,2050,0.13,2065,1.55,4115,1.68
Kelly Olynyk,3969,0.91,3966,-0.34,7935,0.57
Mikal Bridges,5913,0.43,5920,0.05,11833,0.48
Saddiq Bey,4409,1.67,4405,-1.2,8814,0.47
Jerami Grant,4511,0.57,4497,-0.82,9008,-0.25
Herbert Jones,3930,1.36,3936,1.0,7866,2.36
Rodney McGruder,1080,0.45,1068,-0.01,2148,0.44
Meyers Leonard,234,0.13,234,-0.63,468,-0.5
Kemba Walker,269,-0.32,261,0.38,530,0.06
Zion Williamson,1981,0.79,1981,1.19,3962,1.98
Marvin Bagley III,1978,-0.7,1987,-0.41,3965,-1.1
Tyler Dorsey,14,-0.08,14,0.06,28,-0.02
Lindell Wigginton,180,-0.2,182,-0.42,362,-0.62
Devonte' Graham,2756,-1.3,2750,-0.69,5506,-1.99
Miles McBride,1493,-0.13,1530,0.89,3023,0.76
Isaac Okoro,3231,0.42,3293,0.33,6524,0.75
Christian Koloko,1627,0.01,1621,2.11,3248,2.11
MarJon Beauchamp,1431,-0.84,1450,-0.62,2881,-1.46
McKinley Wright IV,664,-1.26,675,-0.88,1339,-2.14
Markelle Fultz,3614,-0.84,3601,-0.11,7215,-0.95
Jalen McDaniels,3886,0.75,3916,-0.16,7802,0.59
Bryn Forbes,555,-0.24,558,-0.64,1113,-0.88
Luke Kornet,1628,-0.2,1641,0.08,3269,-0.12
Jalen Green,5310,0.27,5287,-1.24,10597,-0.97
Montrezl Harrell,1372,0.0,1384,0.47,2756,0.47
John Konchar,3073,0.74,3103,1.34,6176,2.08
Matthew Dellavedova,442,-1.06,453,0.18,895,-0.88
Damian Lillard,4257,2.94,4240,-0.86,8497,2.08
TyTy Washington Jr.,885,-0.72,881,0.49,1766,-0.23
